Name,City,Country,Latitude,Longitude,Airport ID,IATA,ICAO
Gaylord Regional Airport,GAYLORD,United States,45.0135002136,-84.7035980225,13075,GLR,KGLR
Anderson Municipal Darlington Field,ANDERSON,United States,40.10860061649999,-85.6129989624,13077,AID,KAID
Cenej Airport,Novi Sad,Serbia,45.385799,19.839199,13078,QND,LYNS
Grundarfjörður Airport,Grundarfjordur,Iceland,64.99140167236328,-23.22470092773437,13079,GUU,BIGF
Prairie Du Chien Municipal Airport,Prairie du Chien,United States,43.019298553467,-91.12370300293,13080,PCD,KPDC
Cascade Heliport,Kobok,Indonesia,47.512346,-120.488691,13097,\N,WA98
Air Orlando Heliport,Orlando,United States,28.43560028076172,-81.47309875488281,13098,\N,2FD7
Tórshavn/Bodanes Heliport,Torshavn,Faroe Islands,62.02170181274414,-6.757420063018799,13106,\N,EKTB
Otjiwarongo Airport,Otjiwarongo,Namibia,-20.434700012207,16.660800933838,13112,OTJ,FYOW
RAF Mona,Mona,United Kingdom,53.258598,-4.37355,13114,\N,EGOQ
Rerik-Zweedorf Airport,Rerik,Germany,54.08194351196289,11.64916706085205,13120,\N,EDCR
Fazenda Vaticano Airport,Cruz,Brazil,-21.294443,-56.11861,13121,\N,SSVV
Stanly County Airport,Albemarle,United States,35.416698455811,-80.150802612305,13123,\N,KVUJ
Davidson County Airport,Lexington,United States,35.78110122680664,-80.30380249023438,13124,\N,KEXX
Windwood Fly-In Resort Airport,Davis,United States,39.05509948730001,-79.43139648440001,13126,\N,WV62
Lathan Strip,Mocksville,United States,34.87630081176758,-80.61920166015625,13127,\N,5NC2
Double Eagle II Airport,Albuquerque,United States,35.145198822021484,-106.79499816894533,13130,\N,KAEG
Socorro Municipal Airport,Socorro,United States,34.022499084472656,-106.90299987792967,13131,\N,KONM
Bentonville Municipal-Louise M Thaden Field,Bentonville,United States,36.34569931,-94.21929932,13135,\N,KVBT
Blue Ridge Airport,Martinsville,United States,36.63069915771485,-80.01830291748047,13137,\N,KMTV
Mount Airy Surry County Airport,Mount Airy,United States,36.45970154,-80.55300140000001,13138,\N,KMWK
Taos Regional Airport,Taos,United States,36.45819855,-105.67199709999998,13139,TSM,KSKX
Raton Municipal-Crews Field,Raton,United States,36.74150085,-104.5019989,13142,RTN,KRTN
Rusk County Airport,Ladysmith,United States,45.49679946899414,-91.00050354003906,13144,\N,KRCX
Perry Lefors Field,Pampa,United States,35.612998962402,-100.99600219727,13154,PPA,KPPA
William R. Pogue Municipal Airport,Sand Springs,United States,36.1753006,-96.15180206,13155,\N,KOWP
Marion County Regional Airport,Flippin,United States,36.29090118,-92.59030151,13156,FLP,KFLP
Hutchinson County Airport,Borger,United States,35.70090103149999,-101.393997192,13158,BGD,KBGD
Budaörs Airfield,Budaoers,Hungary,47.451099,18.9806,13176,\N,LHBS
Jakabszállás Airport,Jakabszallas,Hungary,46.74720001220703,19.605600357055664,13177,\N,LHJK
St. Helena Airport,Longwood,United Kingdom,-15.957725,-5.645943,13180,HLE,FHSH
Bonn-Hangelar Airport,Sankt-Augustin,Germany,50.7688903809,7.16333293915,13183,BNJ,EDKB
Nogliki Airport,Nogliki,Russia,51.780102,143.13900800000002,13188,NGK,UHSN
Santa Ynez Airport,Santa Ynez,United States,34.60680008,-120.0759964,13189,SQA,KIZA
Delingha Airport,Haixi,China,37.125286,97.268658,13192,HXD,ZLDL
Qionghai Bo'ao Airport,Qionghai,China,19.13824,110.454775,13193,BAR,ZJQH
Northeim Airport,Northeim,Germany,51.70639038085938,10.039722442626951,13199,\N,EDVN
Reggio Emilia Airport,Reggio Emilia,Italy,44.698299,10.6628,13209,\N,LIDE
Bowen Airport,Bowen,Australia,-20.018299102783203,148.21499633789062,13210,ZBO,YBWN
Ulanqab Jining Airport,Wulanchabu,China,41.129722,113.108056,13211,UCB,ZBUC
Odienne Airport,Odienne,Cote d'Ivoire,9.5,-7.566999912261963,13212,KEO,DIOD
Siguiri Airport,Siguiri,Guinea,11.432999610901,-9.1669998168945,13214,GII,GUSI
Nzérékoré Airport,Nzerekore,Guinea,7.8060193061829,-8.7017974853516,13215,NZE,GUNZ
Boolgeeda,Brockman,Australia,-22.54,117.275,13227,OCM,YBGD
Shaoyang Wugang Airport,Shaoyang,China,26.802,110.642,13229,WGN,ZGSY
9 de Maio - Teixeira de Freitas Airport,Teixeira de Freitas,Brazil,-17.524499893188,-39.66849899292,13230,TXF,SNTF
Spartanburg Downtown Memorial Airport,Spartangurg,United States,34.915699005127,-81.956497192383,13233,SPA,KSPA
Bajawa Soa Airport,Bajawa,Indonesia,-8.70743498008,121.057426929,13243,BJW,WATB
Torgau-Beilrode Airport,Gransee,Germany,51.570907,13.051641,13248,\N,EDOG
Annobón Airport,San Antonio de Pale,Equatorial Guinea,-1.410277,5.621944,13249,NBN,FGAB
Renk Airport,Huangshan,China,11.8324692723,32.81049728390001,13257,\N,HSRN
Oyo Ollombo Airport,Oyo,Congo (Brazzaville),-1.226666,15.91,13260,OLL,FCOD
Port Hardy Seaplane Base,Port Hardy,Canada,50.71670150756836,-127.48300170898438,13263,\N,CAW5
Tri-City Airport,Parsons,United States,37.32989883,-95.5062027,13265,PPF,KPPF
Boun Neau Airport,Phongsaly,Laos,21.6475,101.9,13266,PCQ,VLFL
Waycross Ware County Airport,Waycross,United States,31.2490997314,-82.39550018310001,13267,AYS,KAYS
Blaise Diagne International Airport,Diass,Senegal,14.67,-17.073332999999998,13268,DSS,GOBD
Mid-State Regional Airport,Philipsburg,United States,40.884399414062,-78.087303161621,13269,\N,KPSB
Greater Portsmouth Regional Airport,Portsmouth,United States,38.8404998779,-82.84729766850002,13271,PMH,KPMH
Coonawarra Airport,Coonawarra,Australia,-37.28329849243164,140.8000030517578,13306,\N,YCNQ
Naracoorte Airport,Naracoorte,Australia,-36.98529815673828,140.72500610351562,13307,NAC,YNRC
